school,year,race,orientation,major,legacy,highschool,gender,geography,financialAid,athlete,affiliation,How do you view your intelligence compared with that of the average student who is studying the same subject as you are?,How do you view your intelligence compared with that of your average peer from your high school?,How do you view your intelligence compared with that of the average student on your campus?,What restaurant serves the best thai food in Hanover?,What restaurant serves the best pizza in Hanover?,What restaurant serves the best burger in Hanover?,Please select up to three of your favorite restaurants in Hanover. ,"Overall, what DDS location serves the best food?",What DDS location serves the best coffee?,What restaurant cuisine do you think is most missing from Hanover?\n,"During an average term, how often do you eat in a restaurant off-campus?",Which on-Campus dining plan do you think is the best?,"What advice, if any, would you give to other students about dining on or off campus?",What do you think is the best dish in Hanover?\n
Dartmouth,2020,two or more races,heterosexual/straight,Economics,yes,public,woman,New England,yes,none,none,Slightly lower,Much higher,Slightly lower,,,,,,,,,,,
Dartmouth,2017,asian,heterosexual/straight,"Economics, Philosophy",no,private,man,Mid-Atlantic,no,none,fraternity,Much higher,Much higher,Slightly higher,,,,,,,,,,,
Dartmouth,2017,white,heterosexual/straight,Biological Sciences,no,public,man,West,no,club,fraternity,Slightly higher,Much higher,Slightly higher,,,,,,,,,,,
Dartmouth,2017,asian,heterosexual/straight,"Computer Science, Economics",no,public,woman,Mid-Atlantic,yes,none,sorority,Average,Much higher,Slightly higher,,,,,,,,,,,
Dartmouth,2017,white,heterosexual/straight,Political Science,yes,public,woman,New England,no,none,sorority,Slightly lower,Much higher,Slightly lower,,,,,,,,,,,
Dartmouth,2017,white,heterosexual/straight,Russian,no,private,man,Mid-Atlantic,no,club,fraternity,Slightly higher,Slightly higher,Slightly higher,,,,,,,,,,,
Dartmouth,2017,white,heterosexual/straight,"Pre-Medical, Psychological and Brain Sciences",no,public,woman,New England,no,none,none,Average,Slightly higher,Average,,,,,,,,,,,
Dartmouth,2018,white,heterosexual/straight,Biological Sciences,yes,public,woman,Mid-Atlantic,no,club,sorority,Average,Much higher,Average,,,,,,,,,,,
Dartmouth,2018,white,heterosexual/straight,Engineering Sciences,no,public,woman,Mid-Atlantic,no,none,sorority,Average,Much higher,Slightly higher,,,,,,,,,,,
Dartmouth,2019,white,heterosexual/straight,"Classics, other",yes,private,woman,New England,yes,club,sorority,Much lower,Average,Much lower,,,,,,,,,,,
Dartmouth,2020,white,heterosexual/straight,Engineering Sciences,no,private,man,Midwest,no,varsity,none,Slightly higher,Much higher,Slightly higher,,,,,,,,,,,
Dartmouth,2018,asian,heterosexual/straight,Computer Science,no,public,woman,West,no,none,none,Slightly lower,Slightly higher,Average,,,,,,,,,,,
Dartmouth,2017,white,queer,Economics,no,public,woman,Midwest,no,none,none,Slightly higher,Much higher,Slightly higher,,,,,,,,,,,
Dartmouth,2017,white,heterosexual/straight,Political Science,no,private,woman,South,no,none,sorority,Slightly higher,Much higher,Slightly higher,,,,,,,,,,,
Dartmouth,2020,white,heterosexual/straight,"Earth Sciences, Environmental Studies",no,public,woman,New England,no,varsity,none,Average,Slightly higher,Average,,,,,,,,,,,
Dartmouth,2020,white,heterosexual/straight,"Economics, Political Science",no,public,man,Mid-Atlantic,yes,club,none,Slightly lower,Much higher,Slightly lower,,,,,,,,,,,
Dartmouth,2019,two or more races,heterosexual/straight,"Psychological and Brain Sciences, Pre-Medical",no,parochial,woman,West,no,none,none,Average,Much higher,Average,,,,,,,,,,,
Dartmouth,2019,hispanic/latino,bisexual,Sociology,no,public,woman,South,yes,varsity,none,Average,Much higher,Slightly lower,,,,,,,,,,,
Dartmouth,2019,white,heterosexual/straight,"Economics, Studio Art",no,private,woman,Midwest,no,club,sorority,Average,Much higher,Slightly higher,,,,,,,,,,,
Dartmouth,2019,black or african-american,heterosexual/straight,"Chemistry, Economics",no,public,man,South,yes,none,none,Slightly higher,Slightly higher,Slightly higher,,,,,,,,,,,
Dartmouth,2017,asian,heterosexual/straight,Mathematics,no,public,man,International,yes,none,fraternity,Slightly higher,Much higher,Slightly higher,,,,,,,,,,,
Dartmouth,2019,white,heterosexual/straight,"Geography, other",no,public,woman,Mid-Atlantic,yes,none,sorority,Slightly lower,Much higher,Much lower,,,,,,,,,,,
Dartmouth,2018,white,heterosexual/straight,Economics,no,private,woman,Mid-Atlantic,no,none,sorority,Average,Much higher,Slightly higher,,,,,,,,,,,
Dartmouth,2018,white,heterosexual/straight,Linguistics,no,public,woman,Mid-Atlantic,no,none,none,Slightly lower,Much higher,Average,,,,,,,,,,,
Dartmouth,2020,white,heterosexual/straight,other,no,public,woman,Mid-Atlantic,no,varsity,none,Average,Much higher,Average,,,,,,,,,,,
Dartmouth,2018,white,heterosexual/straight,Philosophy,no,homeschool,man,South,no,club,none,Slightly higher,Slightly higher,Much higher,,,,,,,,,,,
Dartmouth,2020,two or more races,questioning,Classics,no,parochial,woman,Midwest,no,club,none,Average,Much higher,Slightly higher,,,,,,,,,,,
Dartmouth,2017,white,heterosexual/straight,Political Science,no,public,woman,Mid-Atlantic,yes,none,sorority,Average,Much higher,Average,,,,,,,,,,,
Dartmouth,2016,white,heterosexual/straight,Biological Sciences,yes,public,man,Mid-Atlantic,yes,club,fraternity,Slightly higher,Much higher,Slightly higher,,,,,,,,,,,
Dartmouth,2018,white,heterosexual/straight,"Environmental Studies, Political Science",no,public,man,West,yes,varsity,fraternity,Slightly lower,Much higher,Average,,,,,,,,,,,
Dartmouth,2019,white,heterosexual/straight,Physics and Astronomy,yes,private,man,New England,no,none,none,Average,Slightly higher,Average,,,,,,,,,,,
Dartmouth,2020,white,heterosexual/straight,Biological Sciences,no,public,woman,Mid-Atlantic,no,varsity,none,Slightly higher,Much higher,Slightly higher,,,,,,,,,,,
Dartmouth,2018,white,queer,Mathematics,yes,private,transgender male,Midwest,yes,club,none,Slightly higher,Slightly higher,Slightly higher,,,,,,,,,,,
Dartmouth,2020,white,heterosexual/straight,Biological Sciences,yes,private,man,New England,no,varsity,fraternity,Average,Much higher,Slightly higher,,,,,,,,,,,
Dartmouth,2018,white,heterosexual/straight,"Political Science, other",no,public,woman,New England,no,club,sorority,Slightly higher,Much higher,Slightly higher,,,,,,,,,,,
Dartmouth,2020,white,questioning,"Psychological and Brain Sciences, Women‰Ûªs and Gender Studies (and Sexuality)",yes,private,woman,Mid-Atlantic,no,none,none,Average,Slightly higher,Average,,,,,,,,,,,
Dartmouth,2017,hispanic/latino,heterosexual/straight,Engineering Sciences,no,private,woman,other,yes,varsity,sorority,Slightly lower,Slightly higher,Average,,,,,,,,,,,
Dartmouth,2018,two or more races,heterosexual/straight,"Computer Science, Economics",no,private,man,West,no,none,none,Much lower,Much lower,Much lower,,,,,,,,,,,
Dartmouth,2020,white,heterosexual/straight,Political Science,yes,private,man,New England,no,varsity,none,Slightly higher,Much higher,Slightly lower,,,,,,,,,,,
Dartmouth,2020,white,heterosexual/straight,Engineering Sciences,yes,public,man,New England,no,club,none,Average,Much higher,Slightly higher,,,,,,,,,,,
Dartmouth,2019,hispanic/latino,bisexual,Political Science,no,public,woman,South,yes,none,sorority,Much lower,Much higher,Much lower,,,,,,,,,,,
Dartmouth,2020,white,heterosexual/straight,Political Science,no,private,man,South,no,club,fraternity,Slightly lower,Slightly higher,Average,,,,,,,,,,,
Dartmouth,2020,white,heterosexual/straight,Biological Sciences,no,private,woman,Midwest,no,club,none,Average,Much higher,Slightly higher,,,,,,,,,,,
Dartmouth,2017,white,heterosexual/straight,History,no,public,man,West,yes,club,fraternity,Much higher,Much higher,Slightly higher,,,,,,,,,,,
Dartmouth,2020,asian,heterosexual/straight,"Economics, Computer Science",no,public,man,Midwest,no,none,none,Slightly higher,Much higher,Slightly higher,,,,,,,,,,,
Dartmouth,2017,asian,heterosexual/straight,"Economics, Computer Science",no,public,man,South,yes,none,none,Slightly higher,Slightly higher,Slightly higher,,,,,,,,,,,
Dartmouth,2020,white,heterosexual/straight,"Music, Physics and Astronomy",no,public,man,New England,yes,none,none,Average,Much higher,Slightly higher,,,,,,,,,,,
Dartmouth,2020,white,heterosexual/straight,"Chemistry, Geography",no,public,woman,New England,yes,none,none,Slightly lower,Slightly higher,Slightly lower,,,,,,,,,,,
Dartmouth,2017,white,heterosexual/straight,"Economics, Sociology",no,public,man,Midwest,yes,none,fraternity,Average,Slightly higher,Average,,,,,,,,,,,
Dartmouth,2017,white,heterosexual/straight,Political Science,no,public,man,International,yes,none,none,Much higher,Much higher,Slightly higher,,,,,,,,,,,
Dartmouth,2020,other,heterosexual/straight,Biological Sciences,no,private,man,West,yes,varsity,none,Much lower,Average,Slightly lower,,,,,,,,,,,
Dartmouth,2018,black or african-american,heterosexual/straight,"Philosophy, Mathematics",no,private,woman,West,yes,none,sorority,Slightly lower,Much higher,Average,,,,,,,,,,,
Dartmouth,2017,asian,questioning,Biological Sciences,no,public,other,West,yes,none,none,Average,Slightly higher,Average,,,,,,,,,,,
Dartmouth,2020,asian,heterosexual/straight,Film and Media Studies,no,private,woman,South,yes,club,none,Slightly lower,Slightly higher,Slightly lower,,,,,,,,,,,
Dartmouth,2020,asian,heterosexual/straight,Political Science,no,private,woman,New England,yes,none,none,Slightly higher,Slightly higher,Slightly higher,,,,,,,,,,,
Dartmouth,2020,white,heterosexual/straight,Political Science,no,public,man,Mid-Atlantic,no,none,none,Slightly higher,Much higher,Slightly higher,,,,,,,,,,,
Dartmouth,2017,asian,heterosexual/straight,Political Science,yes,public,woman,New England,no,none,sorority,Average,Slightly higher,Average,,,,,,,,,,,
Dartmouth,2017,white,other,"Philosophy, Pre-Medical, Statistics",other,other,man,other,other,other,other,Slightly lower,Slightly higher,Average,,,,,,,,,,,
Dartmouth,2019,white,heterosexual/straight,Computer Science,no,public,man,South,no,none,none,Slightly lower,Slightly higher,Average,,,,,,,,,,,
Dartmouth,2018,white,heterosexual/straight,Biological Sciences,no,public,man,New England,yes,none,fraternity,Average,Much higher,Slightly higher,,,,,,,,,,,
Dartmouth,2020,two or more races,heterosexual/straight,"Economics, Engineering Sciences",yes,private,man,West,no,club,none,Slightly higher,Slightly higher,Much higher,,,,,,,,,,,
Dartmouth,2020,white,heterosexual/straight,other,yes,public,woman,West,yes,varsity,none,Slightly lower,Average,Slightly lower,,,,,,,,,,,
Dartmouth,2018,white,heterosexual/straight,Biological Sciences,no,public,woman,Mid-Atlantic,no,none,sorority,Slightly lower,Much higher,Average,,,,,,,,,,,
Dartmouth,2016,white,heterosexual/straight,"Linguistics, Psychological and Brain Sciences",yes,private,man,New England,no,none,none,Slightly higher,Much higher,Average,,,,,,,,,,,
Dartmouth,2020,white,heterosexual/straight,"Mathematics, Physics and Astronomy",no,public,man,West,yes,none,none,Much lower,Average,Slightly lower,,,,,,,,,,,
Dartmouth,2018,white,heterosexual/straight,History,no,private,man,South,no,none,fraternity,Slightly lower,Much higher,Average,,,,,,,,,,,
Dartmouth,2017,white,heterosexual/straight,Economics,no,private,man,New England,yes,none,fraternity,Average,Much higher,Slightly higher,,,,,,,,,,,
Dartmouth,2020,white,heterosexual/straight,Economics,yes,private,woman,New England,no,club,none,Average,Much higher,Average,,,,,,,,,,,
Dartmouth,2020,asian,heterosexual/straight,Economics,no,private,man,Mid-Atlantic,no,none,none,Average,Much higher,Average,,,,,,,,,,,
Dartmouth,2019,white,heterosexual/straight,"Film and Media Studies, Engineering Sciences",yes,private,man,Midwest,no,club,fraternity,Slightly higher,Slightly higher,Slightly higher,,,,,,,,,,,
Dartmouth,2020,asian,heterosexual/straight,Philosophy,no,public,woman,South,yes,club,sorority,Average,Much higher,Slightly higher,,,,,,,,,,,
Dartmouth,2018,white,other,"Computer Science, History",yes,public,man,Midwest,no,club,fraternity,Much lower,Much higher,Slightly lower,,,,,,,,,,,
Dartmouth,2020,white,heterosexual/straight,"English, French and Italian",no,public,woman,Mid-Atlantic,yes,none,none,Much higher,Much higher,Much higher,,,,,,,,,,,
Dartmouth,2018,two or more races,heterosexual/straight,Computer Science,no,public,man,West,yes,none,fraternity,Much higher,Much higher,Much higher,,,,,,,,,,,
Dartmouth,2018,white,heterosexual/straight,Philosophy,no,private,man,New England,yes,varsity,fraternity,Average,Much higher,Slightly higher,,,,,,,,,,,
Dartmouth,2020,white,heterosexual/straight,English,no,public,woman,New England,no,none,none,Slightly lower,Much higher,Average,,,,,,,,,,,
