school,year,race,orientation,major,legacy,highschool,gender,geography,financialAid,athlete,affiliation,How do you view your intelligence compared with that of the average student who is studying the same subject as you are?,How do you view your intelligence compared with that of your average peer from your high school?,How do you view your intelligence compared with that of the average student on your campus?,What restaurant serves the best thai food in Hanover?,What restaurant serves the best pizza in Hanover?,What restaurant serves the best burger in Hanover?,Please select up to three of your favorite restaurants in Hanover. ,"Overall, what DDS location serves the best food?",What DDS location serves the best coffee?,What restaurant cuisine do you think is most missing from Hanover?\n,"During an average term, how often do you eat in a restaurant off-campus?",Which on-Campus dining plan do you think is the best?,"What advice, if any, would you give to other students about dining on or off campus?",What do you think is the best dish in Hanover?\n
Dartmouth,2019,asian,heterosexual/straight,Mathematics,no,public,woman,South,yes,none,sorority,Average,Much higher,Average,,,,,,,,,,,
Dartmouth,2019,white,heterosexual/straight,Mathematics,no,private,man,New England,no,none,none,Average,Much higher,Slightly higher,,,,,,,,,,,
Dartmouth,2020,white,heterosexual/straight,Computer Science,yes,private,woman,West,no,none,none,Average,Slightly higher,Average,,,,,,,,,,,
Dartmouth,2017,white,heterosexual/straight,History,no,private,woman,Mid-Atlantic,yes,none,sorority,Slightly higher,Average,Slightly higher,,,,,,,,,,,
Dartmouth,2019,asian,heterosexual/straight,Computer Science,no,private,woman,Midwest,no,none,none,Average,Much higher,Slightly higher,,,,,,,,,,,
Dartmouth,2020,white,heterosexual/straight,Biological Sciences,no,private,woman,West,no,none,none,Slightly lower,Slightly higher,Slightly higher,,,,,,,,,,,
Dartmouth,2017,white,heterosexual/straight,"Biological Sciences, Music",no,public,man,New England,yes,none,none,Slightly lower,Much higher,Slightly lower,,,,,,,,,,,
Dartmouth,2019,white,heterosexual/straight,Engineering Sciences,no,public,man,New England,yes,varsity,none,Much lower,Much higher,Slightly lower,,,,,,,,,,,
Dartmouth,2020,hispanic/latino,heterosexual/straight,Psychological and Brain Sciences,no,public,woman,South,yes,none,none,Slightly lower,Much higher,Slightly lower,,,,,,,,,,,
Dartmouth,2020,two or more races,heterosexual/straight,"Geography, Political Science",no,public,woman,West,yes,none,none,Average,Much higher,Average,,,,,,,,,,,
Dartmouth,2020,asian,heterosexual/straight,Economics,no,public,woman,South,no,none,none,Slightly higher,Much higher,Slightly higher,,,,,,,,,,,
Dartmouth,2020,native hawaiian,heterosexual/straight,Statistics,yes,public,man,West,other,none,none,Average,Average,Slightly lower,,,,,,,,,,,
Dartmouth,2017,asian,heterosexual/straight,Computer Science,no,private,woman,International,yes,none,sorority,Slightly lower,Much higher,Slightly higher,,,,,,,,,,,
Dartmouth,2020,asian,bisexual,"Economics, Computer Science",no,public,man,South,no,none,none,Much lower,Much higher,Slightly lower,,,,,,,,,,,
Dartmouth,2018,white,bisexual,Physics and Astronomy,no,public,man,Midwest,yes,none,coed,Average,Much higher,Much higher,,,,,,,,,,,
Dartmouth,2018,asian,heterosexual/straight,Computer Science,no,private,woman,International,yes,none,sorority,Slightly higher,Much higher,Slightly higher,,,,,,,,,,,
Dartmouth,2019,white,heterosexual/straight,"Biological Sciences, Economics",yes,public,woman,Mid-Atlantic,yes,varsity,sorority,Slightly higher,Slightly higher,Slightly higher,,,,,,,,,,,
Dartmouth,2017,hispanic/latino,heterosexual/straight,Lat Am/Latino/Carib Studies,no,public,woman,South,yes,none,none,Slightly higher,Slightly higher,Slightly higher,,,,,,,,,,,
Dartmouth,2017,asian,heterosexual/straight,History,no,public,woman,South,yes,none,none,Average,Much higher,Slightly higher,,,,,,,,,,,
Dartmouth,2019,white,gay/lesbian,Biological Sciences,no,private,man,New England,yes,none,none,Average,Slightly higher,Average,,,,,,,,,,,
Dartmouth,2018,asian,heterosexual/straight,Geography,no,public,woman,South,yes,none,none,Average,Slightly higher,Average,,,,,,,,,,,
Dartmouth,2019,asian,heterosexual/straight,"Biological Sciences, Computer Science",no,public,woman,West,no,club,none,Slightly higher,Much higher,Slightly higher,,,,,,,,,,,
Dartmouth,2020,other,heterosexual/straight,Anthropology,yes,public,man,New England,yes,club,none,Slightly lower,Much higher,Slightly lower,,,,,,,,,,,
Dartmouth,2020,two or more races,heterosexual/straight,"Political Science, Psychological and Brain Sciences",no,private,woman,Non-Continental,yes,none,none,Slightly lower,Slightly higher,Slightly lower,,,,,,,,,,,
Dartmouth,2017,white,heterosexual/straight,Political Science,no,private,man,New England,no,none,fraternity,Slightly higher,Much higher,Slightly higher,,,,,,,,,,,
Dartmouth,2017,black or african-american,queer,"Film and Media Studies, Women‰Ûªs and Gender Studies (and Sexuality)",no,parochial,genderqueer,West,yes,none,none,Average,Slightly higher,Average,,,,,,,,,,,
Dartmouth,2017,white,heterosexual/straight,"Biological Sciences, Classics",no,private,woman,Midwest,yes,none,sorority,Slightly higher,Much higher,Slightly higher,,,,,,,,,,,
Dartmouth,2019,white,heterosexual/straight,Engineering Sciences,no,public,man,West,yes,none,none,Much lower,Average,Slightly lower,,,,,,,,,,,
Dartmouth,2018,other,heterosexual/straight,"Cognitive Science, Psychological and Brain Sciences",no,public,woman,Midwest,no,varsity,sorority,Slightly lower,Much higher,Slightly lower,,,,,,,,,,,
Dartmouth,2020,native hawaiian,heterosexual/straight,"Biological Sciences, Earth Sciences, Environmental Studies",no,private,woman,International,yes,club,none,Average,Much higher,Slightly lower,,,,,,,,,,,
Dartmouth,2018,white,heterosexual/straight,Economics,no,private,man,South,yes,varsity,fraternity,Slightly higher,Much higher,Slightly higher,,,,,,,,,,,
Dartmouth,2019,white,bisexual,"Earth Sciences, Environmental Studies",yes,public,woman,West,no,club,sorority,Average,Slightly higher,Average,,,,,,,,,,,
Dartmouth,2017,white,heterosexual/straight,"Economics, Computer Science",no,public,man,Mid-Atlantic,no,club,none,Average,Much higher,Slightly higher,,,,,,,,,,,
Dartmouth,2020,asian,heterosexual/straight,"Economics, Political Science",no,public,woman,Midwest,yes,none,none,Slightly higher,Much higher,Slightly higher,,,,,,,,,,,
Dartmouth,2018,asian,heterosexual/straight,Engineering Sciences,no,public,woman,West,yes,none,none,Average,Slightly higher,Average,,,,,,,,,,,
Dartmouth,2017,white,gay/lesbian,Physics and Astronomy,no,public,man,Mid-Atlantic,no,none,none,Average,Much higher,Slightly higher,,,,,,,,,,,
Dartmouth,2017,white,heterosexual/straight,"Linguistics, Classics",no,private,man,New England,yes,none,none,Slightly higher,Much higher,Slightly higher,,,,,,,,,,,
Dartmouth,2019,white,heterosexual/straight,"Biological Sciences, Political Science",no,private,man,West,yes,varsity,none,Slightly higher,Much higher,Slightly higher,,,,,,,,,,,
Dartmouth,2017,asian,heterosexual/straight,Computer Science,yes,public,man,New England,no,none,none,Slightly higher,Much higher,Average,,,,,,,,,,,
Dartmouth,2019,white,heterosexual/straight,Economics,no,private,man,Mid-Atlantic,yes,none,none,Slightly higher,Much higher,Much higher,,,,,,,,,,,
Dartmouth,2017,hispanic/latino,heterosexual/straight,"Asian/Mideast Studies, Political Science",no,public,woman,other,yes,none,sorority,Slightly higher,Much higher,Slightly higher,,,,,,,,,,,
Dartmouth,2020,asian,heterosexual/straight,Engineering Sciences,no,private,woman,Mid-Atlantic,no,none,none,Average,Slightly higher,Average,,,,,,,,,,,
Dartmouth,2016,native hawaiian,questioning,Mathematics,no,public,woman,Mid-Atlantic,no,none,none,Average,Much higher,Slightly higher,,,,,,,,,,,
Dartmouth,2017,two or more races,other,"History, Psychological and Brain Sciences",no,public,woman,other,yes,none,sorority,Much lower,Much higher,Slightly lower,,,,,,,,,,,
Dartmouth,2020,white,heterosexual/straight,Chemistry,no,public,woman,Midwest,yes,none,none,Slightly higher,Much higher,Slightly higher,,,,,,,,,,,
Dartmouth,2018,asian,heterosexual/straight,Computer Science,no,public,man,West,no,none,none,Slightly higher,Much higher,Slightly higher,,,,,,,,,,,
Dartmouth,2020,asian,questioning,other,no,private,woman,Mid-Atlantic,yes,club,none,Much higher,Much higher,Much higher,,,,,,,,,,,
Dartmouth,2019,hispanic/latino,heterosexual/straight,"Engineering Sciences, Lat Am/Latino/Carib Studies",no,public,woman,West,yes,none,sorority,Slightly lower,Average,Slightly lower,,,,,,,,,,,
Dartmouth,2017,hispanic/latino,heterosexual/straight,Earth Sciences,no,public,man,New England,no,club,none,Slightly lower,Slightly higher,Average,,,,,,,,,,,
Dartmouth,2017,white,heterosexual/straight,Chemistry,no,private,woman,New England,yes,none,sorority,Average,Much higher,Slightly higher,,,,,,,,,,,
Dartmouth,2020,white,heterosexual/straight,Psychological and Brain Sciences,yes,public,woman,Midwest,no,club,none,Average,Slightly higher,Slightly lower,,,,,,,,,,,
Dartmouth,2017,asian,heterosexual/straight,"Earth Sciences, Engineering Sciences",no,public,man,Mid-Atlantic,yes,none,fraternity,Average,Much higher,Slightly higher,,,,,,,,,,,
Dartmouth,2019,two or more races,heterosexual/straight,"Economics, History",no,public,woman,Midwest,no,none,none,Average,Much higher,Slightly higher,,,,,,,,,,,
Dartmouth,2020,other,heterosexual/straight,"Film and Media Studies, Psychological and Brain Sciences",no,private,woman,other,yes,none,none,Average,Slightly higher,Slightly lower,,,,,,,,,,,
Dartmouth,2017,american indian,heterosexual/straight,Linguistics,yes,public,woman,Midwest,yes,none,sorority,Average,Slightly higher,Much higher,,,,,,,,,,,
Dartmouth,2017,white,heterosexual/straight,Engineering Sciences,no,public,woman,New England,yes,varsity,sorority,Slightly lower,Much higher,Average,,,,,,,,,,,
Dartmouth,2020,white,pansexual,Economics,yes,private,woman,New England,no,varsity,none,Average,Much higher,Average,,,,,,,,,,,
Dartmouth,2019,asian,heterosexual/straight,"Political Science, Statistics",no,private,woman,International,yes,none,sorority,Average,Slightly higher,Average,,,,,,,,,,,
Dartmouth,2019,white,heterosexual/straight,Political Science,yes,parochial,man,West,yes,varsity,none,Average,Much higher,Average,,,,,,,,,,,
Dartmouth,2019,black or african-american,pansexual,Sociology,no,public,man,Mid-Atlantic,yes,none,none,Slightly higher,Much higher,Average,,,,,,,,,,,
Dartmouth,2020,white,heterosexual/straight,"Economics, Engineering Sciences",no,public,man,South,no,none,none,Average,Slightly higher,Average,,,,,,,,,,,
Dartmouth,2017,white,heterosexual/straight,"Economics, Sociology",no,public,woman,Midwest,no,none,none,Slightly higher,Much higher,Average,,,,,,,,,,,
Dartmouth,2017,white,heterosexual/straight,"Biological Sciences, Sociology",yes,public,woman,New England,no,none,none,Slightly higher,Slightly higher,Slightly higher,,,,,,,,,,,
Dartmouth,2018,two or more races,queer,Psychological and Brain Sciences,no,public,woman,South,yes,club,sorority,Slightly higher,Much higher,Average,,,,,,,,,,,
Dartmouth,2017,two or more races,heterosexual/straight,"Economics, Mathematics",yes,public,man,Mid-Atlantic,no,none,none,Slightly higher,Slightly higher,Much higher,,,,,,,,,,,
Dartmouth,2019,white,heterosexual/straight,Geography,no,public,woman,South,no,none,sorority,Average,Much higher,Average,,,,,,,,,,,
Dartmouth,2017,white,heterosexual/straight,"Engineering Sciences, Mathematics",yes,public,woman,Mid-Atlantic,no,club,sorority,Slightly higher,Much higher,Slightly higher,,,,,,,,,,,
Dartmouth,2020,white,other,"Engineering Sciences, Studio Art",yes,other,woman,New England,no,varsity,none,Slightly lower,Slightly higher,Slightly lower,,,,,,,,,,,
Dartmouth,2019,asian,heterosexual/straight,Chemistry,no,public,woman,New England,yes,none,none,Slightly lower,Much higher,Slightly lower,,,,,,,,,,,
Dartmouth,2018,white,heterosexual/straight,"Linguistics, Mathematics",no,public,woman,West,no,club,none,Average,Much higher,Slightly higher,,,,,,,,,,,
Dartmouth,2017,white,heterosexual/straight,Psychological and Brain Sciences,no,public,woman,New England,yes,none,sorority,Average,Much higher,Slightly higher,,,,,,,,,,,
Dartmouth,2019,black or african-american,bisexual,"Political Science, Film and Media Studies",yes,public,man,South,no,club,none,Slightly higher,Much higher,Average,,,,,,,,,,,
Dartmouth,2020,white,heterosexual/straight,other,no,public,woman,New England,yes,none,none,Average,Slightly higher,Average,,,,,,,,,,,
Dartmouth,2019,white,heterosexual/straight,"Political Science, History",yes,public,woman,South,no,club,none,Slightly higher,Much higher,Slightly higher,,,,,,,,,,,
Dartmouth,2018,white,heterosexual/straight,"Political Science, Psychological and Brain Sciences",no,private,man,West,no,none,fraternity,Average,Much higher,Slightly higher,,,,,,,,,,,
Dartmouth,2020,black or african-american,heterosexual/straight,"Biological Sciences, Engineering Sciences",no,public,woman,South,yes,other,none,Slightly lower,Much higher,Slightly lower,,,,,,,,,,,
Dartmouth,2017,white,heterosexual/straight,"Chemistry, Environmental Studies",no,private,woman,Midwest,no,club,sorority,Average,Average,Average,,,,,,,,,,,
Dartmouth,2019,white,heterosexual/straight,Psychological and Brain Sciences,no,public,woman,Midwest,yes,varsity,sorority,Slightly higher,Much higher,Slightly higher,,,,,,,,,,,
Dartmouth,2019,white,heterosexual/straight,Engineering Sciences,no,public,man,West,yes,none,none,Slightly lower,Much higher,Slightly higher,,,,,,,,,,,
Dartmouth,2017,black or african-american,heterosexual/straight,English,yes,public,woman,South,yes,none,sorority,Average,Slightly higher,Average,,,,,,,,,,,
Dartmouth,2019,white,heterosexual/straight,Psychological and Brain Sciences,no,public,man,Mid-Atlantic,no,club,none,Slightly higher,Much higher,Slightly higher,,,,,,,,,,,
Dartmouth,2020,white,heterosexual/straight,Economics,yes,private,man,New England,no,varsity,none,Slightly higher,Much higher,Slightly higher,,,,,,,,,,,
Dartmouth,2018,white,heterosexual/straight,"Engineering Sciences, Asian/Mideast Lang & Lit",no,public,man,New England,no,none,fraternity,Average,Slightly higher,Average,,,,,,,,,,,
Dartmouth,2020,white,heterosexual/straight,Economics,no,public,man,Mid-Atlantic,no,club,none,Average,Much higher,Average,,,,,,,,,,,
Dartmouth,2019,other,heterosexual/straight,"Anthropology, French and Italian",no,public,woman,Midwest,yes,none,none,Slightly lower,Slightly higher,Average,,,,,,,,,,,
Dartmouth,2020,white,heterosexual/straight,"Computer Science, Economics",no,private,woman,Mid-Atlantic,no,none,none,Slightly higher,Slightly higher,Slightly higher,,,,,,,,,,,
Dartmouth,2020,white,heterosexual/straight,"Computer Science, Engineering Sciences, other",yes,private,woman,West,no,none,none,Slightly higher,Slightly higher,Slightly higher,,,,,,,,,,,
Dartmouth,2017,asian,heterosexual/straight,"Computer Science, Economics",no,private,woman,Mid-Atlantic,no,club,sorority,Slightly higher,Much higher,Slightly higher,,,,,,,,,,,
Dartmouth,2018,hispanic/latino,heterosexual/straight,French and Italian,no,public,woman,South,yes,none,none,Average,Much higher,Average,,,,,,,,,,,
Dartmouth,2020,two or more races,heterosexual/straight,Engineering Sciences,no,public,woman,New England,yes,none,none,Slightly lower,Slightly higher,Average,,,,,,,,,,,
Dartmouth,2017,two or more races,gay/lesbian,"Asian/Mideast Lang & Lit, Linguistics",no,public,man,West,yes,none,none,Slightly higher,Much higher,Slightly higher,,,,,,,,,,,
Dartmouth,2018,white,heterosexual/straight,"Mathematics, Economics",yes,public,man,New England,no,none,fraternity,Average,Much higher,Average,,,,,,,,,,,
Dartmouth,2017,white,heterosexual/straight,"Biological Sciences, Economics",no,public,man,West,no,club,none,Average,Much higher,Average,,,,,,,,,,,
Dartmouth,2017,asian,bisexual,"Political Science, Psychological and Brain Sciences",no,public,woman,International,yes,none,none,Much higher,Much higher,Much higher,,,,,,,,,,,
Dartmouth,2020,white,heterosexual/straight,"Economics, English",no,private,woman,New England,no,none,none,Average,Slightly higher,Average,,,,,,,,,,,
Dartmouth,2018,asian,heterosexual/straight,Biological Sciences,no,public,man,International,yes,none,fraternity,Average,Much higher,Slightly higher,,,,,,,,,,,
Dartmouth,2018,asian,heterosexual/straight,Economics,no,public,man,West,yes,other,none,Much lower,Much higher,Slightly lower,,,,,,,,,,,
Dartmouth,2019,white,heterosexual/straight,Psychological and Brain Sciences,yes,private,man,West,no,none,none,Average,Much higher,Slightly lower,,,,,,,,,,,
Dartmouth,2020,white,gay/lesbian,"Environmental Studies, Political Science",no,public,man,Midwest,no,none,none,Average,Much higher,Slightly higher,,,,,,,,,,,
Dartmouth,2019,white,heterosexual/straight,Engineering Sciences,no,public,woman,Midwest,no,varsity,none,Slightly higher,Much higher,Slightly higher,,,,,,,,,,,
Dartmouth,2020,white,heterosexual/straight,Asian/Mideast Lang & Lit,no,public,man,Mid-Atlantic,yes,none,none,Slightly higher,Much higher,Slightly higher,,,,,,,,,,,
Dartmouth,2020,black or african-american,heterosexual/straight,"Computer Science, Economics",no,private,man,Mid-Atlantic,yes,club,none,Average,Much higher,Slightly lower,,,,,,,,,,,
Dartmouth,2020,asian,heterosexual/straight,"Economics, Mathematics",no,private,man,West,yes,none,none,Average,Slightly higher,Slightly higher,,,,,,,,,,,
Dartmouth,2017,other,heterosexual/straight,History,no,private,man,New England,yes,none,fraternity,Slightly higher,Much higher,Much higher,,,,,,,,,,,
Dartmouth,2016,white,gay/lesbian,"English, Women‰Ûªs and Gender Studies (and Sexuality)",no,private,woman,South,yes,none,sorority,Slightly higher,Much higher,Slightly higher,,,,,,,,,,,
Dartmouth,2020,white,heterosexual/straight,"Economics, Sociology",no,public,man,Mid-Atlantic,yes,varsity,none,Average,Much higher,Average,,,,,,,,,,,
Dartmouth,2018,white,heterosexual/straight,Anthropology,no,parochial,man,Midwest,no,none,none,Slightly higher,Much higher,Slightly higher,,,,,,,,,,,
Dartmouth,2019,asian,heterosexual/straight,"Computer Science, Economics",no,public,man,Midwest,yes,none,none,Average,Much higher,Average,,,,,,,,,,,
Dartmouth,other,white,heterosexual/straight,"Chemistry, Music",no,public,woman,South,yes,club,sorority,Slightly higher,Much higher,Slightly higher,,,,,,,,,,,
Dartmouth,2020,white,heterosexual/straight,"Computer Science, Engineering Sciences",no,public,woman,Mid-Atlantic,yes,club,none,Average,Slightly higher,Slightly lower,,,,,,,,,,,
Dartmouth,2020,two or more races,other,Political Science,no,parochial,genderqueer,Non-Continental,yes,none,none,Slightly lower,Much higher,Average,,,,,,,,,,,
Dartmouth,2017,asian,other,Classics,no,public,woman,Mid-Atlantic,yes,none,sorority,Much higher,Slightly higher,Much higher,,,,,,,,,,,
Dartmouth,2020,white,heterosexual/straight,Computer Science,yes,other,woman,Mid-Atlantic,no,none,none,Slightly lower,Much higher,Average,,,,,,,,,,,
Dartmouth,2020,white,heterosexual/straight,Psychological and Brain Sciences,no,public,woman,Midwest,yes,varsity,none,Average,Much higher,Slightly lower,,,,,,,,,,,
Dartmouth,2020,two or more races,heterosexual/straight,Sociology,no,public,woman,Mid-Atlantic,yes,none,none,Average,Average,Slightly lower,,,,,,,,,,,
Dartmouth,2017,white,questioning,Theater,yes,private,woman,Mid-Atlantic,no,none,sorority,Average,Slightly higher,Average,,,,,,,,,,,
Dartmouth,2017,asian,heterosexual/straight,Mathematics,no,public,woman,New England,no,none,none,Slightly higher,Much higher,Slightly higher,,,,,,,,,,,
Dartmouth,2017,white,heterosexual/straight,"Classics, Computer Science",no,private,man,Mid-Atlantic,yes,club,fraternity,Average,Much higher,Average,,,,,,,,,,,
Dartmouth,2017,asian,queer,Sociology,no,public,woman,New England,yes,none,none,Average,Average,Average,,,,,,,,,,,
Dartmouth,2020,white,heterosexual/straight,"Biological Sciences, Asian/Mideast Lang & Lit",yes,public,woman,Mid-Atlantic,no,varsity,none,Average,Slightly higher,Much lower,,,,,,,,,,,
Dartmouth,2018,white,heterosexual/straight,Cognitive Science,no,private,man,West,no,club,fraternity,Average,Much higher,Average,,,,,,,,,,,
Dartmouth,2017,white,heterosexual/straight,"Economics, Mathematics",yes,private,man,New England,no,none,fraternity,Slightly higher,Much higher,Much higher,,,,,,,,,,,
Dartmouth,2018,white,heterosexual/straight,Political Science,no,private,man,Mid-Atlantic,no,varsity,fraternity,Slightly higher,Much higher,Slightly higher,,,,,,,,,,,
Dartmouth,2020,white,heterosexual/straight,"Engineering Sciences, Computer Science",yes,public,man,New England,no,club,none,Slightly higher,Much higher,Much higher,,,,,,,,,,,
Dartmouth,2020,white,heterosexual/straight,Physics and Astronomy,no,public,woman,New England,yes,none,none,Average,Much higher,Slightly higher,,,,,,,,,,,
Dartmouth,2017,white,heterosexual/straight,Political Science,yes,private,man,New England,no,none,none,Slightly higher,Slightly higher,Slightly higher,,,,,,,,,,,
Dartmouth,2017,white,bisexual,"Computer Science, Engineering Sciences",no,public,man,New England,no,varsity,fraternity,Slightly higher,Much higher,Much higher,,,,,,,,,,,
Dartmouth,2017,white,bisexual,Psychological and Brain Sciences,no,other,woman,New England,no,none,none,Slightly higher,Average,Slightly higher,,,,,,,,,,,
Dartmouth,2017,black or african-american,bisexual,"French and Italian, Sociology",no,private,man,Mid-Atlantic,no,varsity,none,Much lower,Much lower,Much lower,,,,,,,,,,,
Dartmouth,2018,white,heterosexual/straight,"Computer Science, Mathematics",yes,public,man,Midwest,yes,none,fraternity,Slightly higher,Much higher,Much higher,,,,,,,,,,,
Dartmouth,2020,two or more races,heterosexual/straight,Psychological and Brain Sciences,no,public,man,other,yes,none,none,Much higher,Much lower,Much higher,,,,,,,,,,,
Dartmouth,2017,white,heterosexual/straight,"Environmental Studies, Geography",no,public,man,Midwest,no,none,none,Slightly higher,Slightly higher,Average,,,,,,,,,,,
Dartmouth,2017,asian,heterosexual/straight,Economics,no,public,man,South,yes,none,fraternity,Slightly higher,Much higher,Slightly higher,,,,,,,,,,,
Dartmouth,2020,asian,heterosexual/straight,"Economics, Computer Science",no,public,man,New England,no,club,none,Average,Much higher,Slightly higher,,,,,,,,,,,
Dartmouth,2019,white,heterosexual/straight,Sociology,no,private,woman,New England,no,none,none,Slightly higher,Slightly higher,Slightly higher,,,,,,,,,,,
Dartmouth,2020,hispanic/latino,gay/lesbian,Lat Am/Latino/Carib Studies,no,private,man,International,yes,none,none,Average,Average,Average,,,,,,,,,,,
Dartmouth,2017,hispanic/latino,heterosexual/straight,"Geography, Psychological and Brain Sciences",no,public,woman,Midwest,yes,none,sorority,Slightly higher,Much higher,Slightly lower,,,,,,,,,,,
Dartmouth,2018,two or more races,questioning,Biological Sciences,no,public,woman,New England,yes,none,none,Average,Much higher,Slightly lower,,,,,,,,,,,
Dartmouth,2016,white,heterosexual/straight,"English, Philosophy",yes,public,man,West,no,none,fraternity,Slightly higher,Much higher,Slightly higher,,,,,,,,,,,
Dartmouth,2018,white,heterosexual/straight,"Computer Science, Economics",no,private,man,Mid-Atlantic,no,club,fraternity,Slightly higher,Average,Much higher,,,,,,,,,,,
Dartmouth,2020,asian,heterosexual/straight,"Economics, Mathematics",no,public,woman,New England,no,none,none,Average,Slightly higher,Average,,,,,,,,,,,
Dartmouth,2017,white,heterosexual/straight,"Psychological and Brain Sciences, Pre-Medical",no,private,woman,New England,no,none,sorority,Average,Slightly higher,Average,,,,,,,,,,,
Dartmouth,2020,black or african-american,heterosexual/straight,Engineering Sciences,no,public,woman,South,yes,none,none,Average,Slightly higher,Average,,,,,,,,,,,
Dartmouth,2017,white,heterosexual/straight,"Economics, Political Science",yes,private,man,West,no,club,fraternity,Much higher,Much higher,Much higher,,,,,,,,,,,
Dartmouth,other,white,heterosexual/straight,"Chemistry, Philosophy",no,private,man,West,yes,none,fraternity,Slightly higher,Much higher,Slightly higher,,,,,,,,,,,
Dartmouth,2018,white,heterosexual/straight,Engineering Sciences,no,private,man,South,yes,none,fraternity,Average,Slightly higher,Slightly higher,,,,,,,,,,,
Dartmouth,2017,white,heterosexual/straight,Economics,no,public,woman,West,no,none,sorority,Slightly lower,Much higher,Slightly lower,,,,,,,,,,,
Dartmouth,2017,hispanic/latino,heterosexual/straight,Political Science,no,private,man,International,yes,none,fraternity,Slightly higher,Much higher,Slightly higher,,,,,,,,,,,
Dartmouth,2019,white,heterosexual/straight,History,yes,public,man,New England,no,club,none,Average,Much higher,Average,,,,,,,,,,,
Dartmouth,2019,white,heterosexual/straight,Cognitive Science,yes,private,woman,South,no,none,sorority,Average,Much higher,Average,,,,,,,,,,,
Dartmouth,2018,american indian,pansexual,Theater,no,other,woman,Midwest,yes,none,none,Much lower,Much higher,Much lower,,,,,,,,,,,
Dartmouth,2019,asian,heterosexual/straight,other,no,public,woman,Mid-Atlantic,yes,none,sorority,Slightly lower,Much higher,Slightly lower,,,,,,,,,,,
Dartmouth,2019,white,heterosexual/straight,Political Science,no,private,man,South,no,varsity,none,Slightly lower,Slightly higher,Average,,,,,,,,,,,
Dartmouth,2020,hispanic/latino,heterosexual/straight,Computer Science,no,other,woman,South,yes,club,none,Much lower,Average,Much lower,,,,,,,,,,,
Dartmouth,2020,white,heterosexual/straight,Earth Sciences,no,private,woman,Mid-Atlantic,yes,varsity,none,Much higher,Slightly higher,Much higher,,,,,,,,,,,
Dartmouth,2020,white,heterosexual/straight,Economics,no,private,woman,New England,yes,varsity,none,Slightly lower,Much higher,Slightly lower,,,,,,,,,,,
Dartmouth,2017,asian,heterosexual/straight,"Computer Science, Economics",no,public,woman,South,yes,none,none,Slightly higher,Much higher,Slightly higher,,,,,,,,,,,
Dartmouth,2018,white,heterosexual/straight,"Computer Science, Economics",yes,public,man,Midwest,no,varsity,fraternity,Slightly higher,Much higher,Much higher,,,,,,,,,,,
Dartmouth,2020,white,heterosexual/straight,Engineering Sciences,yes,private,man,International,no,club,none,Average,Slightly higher,Average,,,,,,,,,,,
Dartmouth,2019,asian,heterosexual/straight,"Computer Science, Mathematics",no,public,woman,West,no,none,sorority,Average,Much higher,Slightly higher,,,,,,,,,,,
Dartmouth,2020,white,heterosexual/straight,other,no,public,man,West,yes,none,none,Average,Much higher,Average,,,,,,,,,,,
Dartmouth,2017,white,heterosexual/straight,"Engineering Sciences, Studio Art",yes,public,woman,West,no,club,none,Slightly lower,Much higher,Average,,,,,,,,,,,
Dartmouth,2017,white,heterosexual/straight,Computer Science,yes,private,man,New England,no,none,fraternity,Average,Slightly higher,Average,,,,,,,,,,,
Dartmouth,2017,white,heterosexual/straight,Economics,no,private,man,South,no,none,fraternity,Average,Much higher,Average,,,,,,,,,,,
Dartmouth,2017,white,heterosexual/straight,"Economics, Spanish and Portuguese, Environmental Studies",no,public,man,West,no,none,fraternity,Average,Much higher,Average,,,,,,,,,,,
Dartmouth,2018,asian,heterosexual/straight,"Computer Science, Economics",no,public,woman,South,no,none,none,Average,Much higher,Slightly higher,,,,,,,,,,,
Dartmouth,2020,asian,questioning,other,no,public,woman,New England,yes,none,none,Average,Average,Average,,,,,,,,,,,
Dartmouth,2019,white,heterosexual/straight,Political Science,no,public,woman,Mid-Atlantic,no,varsity,sorority,Average,Slightly higher,Slightly lower,,,,,,,,,,,
Dartmouth,2020,white,heterosexual/straight,"Philosophy, Pre-Medical",no,private,man,Mid-Atlantic,no,none,none,Average,Much higher,Average,,,,,,,,,,,
Dartmouth,2019,white,heterosexual/straight,"Engineering Sciences, English",no,private,woman,International,yes,varsity,none,Slightly lower,Slightly higher,Slightly lower,,,,,,,,,,,
Dartmouth,2019,white,pansexual,"Environmental Studies, Studio Art",yes,private,woman,Mid-Atlantic,yes,varsity,none,Average,Average,Slightly lower,,,,,,,,,,,
Dartmouth,2019,white,heterosexual/straight,Political Science,no,private,man,New England,no,varsity,none,Average,Slightly higher,Slightly lower,,,,,,,,,,,
Dartmouth,2020,white,heterosexual/straight,Economics,no,private,woman,International,yes,varsity,none,Average,Much higher,Slightly lower,,,,,,,,,,,
Dartmouth,2020,hispanic/latino,heterosexual/straight,"Engineering Sciences, Pre-Medical",no,public,man,New England,yes,none,none,Much lower,Much higher,Much lower,,,,,,,,,,,
Dartmouth,2019,white,gay/lesbian,"Earth Sciences, Theater",no,private,genderqueer,South,yes,none,none,Slightly higher,Much higher,Average,,,,,,,,,,,
Dartmouth,2018,white,heterosexual/straight,"Psychological and Brain Sciences, Spanish and Portuguese",yes,private,woman,Mid-Atlantic,no,none,sorority,Average,Much higher,Slightly higher,,,,,,,,,,,
